Station,Latitude,Longitude,TMR
Brown Howe,54.33614,-0.76073,1244.9308
Grimwith,54.06585,-1.90743,1817.8135
Bramham,53.8566,-1.31394,1344.5581
South Elmsall,53.58559,-1.26808,1212.8716
Broadwater,50.82887,-0.37594,1092.806
Cat and Fiddle,53.2377,-1.9981,1303.429
Churn Clough,53.83431,-2.32834,1509.0756
Faversham,51.3148,0.88856,1034.7938
Goren,50.81079,-3.08478,1990.5464
Ravensthorpe,52.31771,-1.00496,820.2417
Olney,52.15708,-0.70139,847.2787
Birchmoor,51.99503,-0.62034,876.1995
Catcleugh,55.30414,-2.41147,1369.6094
Wileysike Gland,55.01621,-2.55293,1280.2923
Kirkby Thore,54.6198,-2.55293,1014.6202
Wet Sleddale,54.48759,-2.69581,2325
Thirlmere St Jones Beck,54.55136,-3.05408,2637.5738
Cornhow,54.57604,-3.31944,1930.3115
Church Houses,54.35816,-0.95806,1267.5273
Bramham,53.84118,-1.3152,1344.5581
Wakefield,53.66092,-1.47454,806.7896
Chapel,53.29313,-1.90037,1530.3074
Churn Clough,53.82498,-2.33033,1509.0756
Thruscross,53.99324,-1.7821,1570.7057
Valley,53.252,-4.535,1208.8001
Shawbury,52.794,-2.663,1463.0999
Cymystwyth,52.358,-3.802,2559.8001
Nairn Druim,57.593,-3.821,727.6001
Paisley,55.846,-4.43,1313.0999
Leuchars,56.377,-2.861,787.5999
Harbertonford,50.39262,-3.71177,1619.8448
Lamberhurst,51.1005,0.38967,1838.622
Plumpton,50.9432,-0.0612,2826.7024
South Tidworth,51.2346,-1.6606,1859.8257
Tetbury,51.6229,-2.15451,1513.1553
